Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22,170.809998,170.960007,169.559998,169.660004,169.660004,4105700
2023-02-23,169.839996,170.130005,169.080002,169.570007,169.570007,5073500
2023-02-24,168.419998,168.839996,168.190002,168.350006,168.350006,6496500
2023-02-27,168.880005,169.229996,168.550003,169.009995,169.009995,4509200
2023-02-28,168.779999,170.250000,168.589996,169.779999,169.779999,6761600
2023-03-01,170.949997,171.490005,170.470001,170.759995,170.759995,6590500
2023-03-02,170.520004,170.979996,170.360001,170.660004,170.660004,3950700
2023-03-03,171.449997,172.600006,170.979996,172.490005,172.490005,6894500
2023-03-06,172.320007,172.369995,171.539993,171.619995,171.619995,4264100
2023-03-07,170.419998,170.470001,168.520004,168.619995,168.619995,8713300
2023-03-08,168.610001,169.589996,168.520004,168.539993,168.539993,5718600
2023-03-09,169.750000,170.649994,169.710007,170.199997,170.199997,5583000
2023-03-10,171.929993,173.880005,171.919998,173.869995,173.869995,13803400
2023-03-13,176.660004,178.020004,176.300003,177.860001,177.860001,20554400
2023-03-14,177.350006,177.589996,176.210007,176.830002,176.830002,10019000
2023-03-15,178.860001,180.130005,177.490005,178.210007,178.210007,14546100
2023-03-16,179.509995,179.649994,177.869995,178.570007,178.570007,10762200
2023-03-17,181.020004,184.809998,180.770004,183.770004,183.770004,24156300
2023-03-20,184.190002,184.539993,182.740005,183.839996,183.839996,11845700
2023-03-21,182.649994,182.729996,179.899994,180.369995,180.369995,10734500
2023-03-22,180.399994,183.940002,180.279999,183.440002,183.440002,11969600
2023-03-23,183.910004,186.240005,183.600006,185.740005,185.740005,11347100
2023-03-24,185.610001,185.990005,183.619995,183.649994,183.649994,9245900
2023-03-27,181.149994,182.149994,180.690002,181.949997,181.949997,6925000
2023-03-28,182.309998,183.619995,182.119995,183.440002,183.440002,6202600
2023-03-29,182.490005,183.270004,182.240005,182.529999,182.529999,4996500
2023-03-30,182.750000,184.440002,182.550003,184.179993,184.179993,6360300
2023-03-31,184.110001,184.419998,182.800003,183.220001,183.220001,8003300
2023-04-03,183.850006,185.039993,183.320007,184.539993,184.539993,9206600
2023-04-04,184.720001,188.229996,184.660004,187.979996,187.979996,13765400
2023-04-05,188.339996,188.860001,186.779999,187.830002,187.830002,11440800
2023-04-06,186.889999,187.259995,185.949997,186.490005,186.490005,6648400
2023-04-10,185.179993,185.360001,184.190002,185.110001,185.110001,6408100
2023-04-11,185.910004,186.509995,185.639999,186.279999,186.279999,6031500
2023-04-12,187.539993,187.660004,185.970001,187.190002,187.190002,10000900
