Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,412.220001,413.429993,410.230011,413.010010,410.035187,54289400
2023-05-16,411.859985,412.820007,410.239990,410.250000,407.295044,57705500
2023-05-17,412.350006,415.859985,410.640015,415.230011,412.239197,87287000
2023-05-18,414.899994,419.670013,414.670013,419.230011,416.210388,97177200
2023-05-19,420.170013,420.720001,417.350006,418.619995,415.604767,103679700
2023-05-22,418.640015,420.390015,417.350006,418.790009,415.773560,60745400
2023-05-23,417.079987,418.720001,413.679993,414.089996,411.107391,86383500
2023-05-24,412.420013,412.820007,409.880005,411.089996,408.129028,89213700
2023-05-25,414.739990,416.160004,412.410004,414.649994,411.663361,90961600
2023-05-26,415.329987,420.769989,415.250000,420.019989,416.994659,93830000
2023-05-30,422.029999,422.579987,418.739990,420.179993,417.153534,72216000
2023-05-31,418.279999,419.220001,416.220001,417.850006,414.840332,110811800
2023-06-01,418.089996,422.920013,416.790009,421.820007,418.781738,88865000
2023-06-02,424.500000,428.739990,423.950012,427.920013,424.837799,91366700
2023-06-05,428.279999,429.619995,426.369995,427.100006,424.023712,65460200
2023-06-06,426.670013,428.579987,425.989990,428.029999,424.946960,64022200
2023-06-07,428.440002,429.619995,426.109985,426.549988,423.477631,85373300
2023-06-08,426.619995,429.600006,425.820007,429.130005,426.039093,61952800
2023-06-09,429.959991,431.989990,428.869995,429.899994,426.803497,85742800
2023-06-12,430.920013,433.880005,430.170013,433.799988,430.675415,76104300
2023-06-13,435.320007,437.329987,434.630005,436.660004,433.514832,95899700
2023-06-14,437.010010,439.059998,433.589996,437.179993,434.031097,100612100
2023-06-15,436.329987,443.899994,436.230011,442.600006,439.412048,110303100
2023-06-16,443.019989,443.609985,438.970001,439.459991,437.915314,114121300
2023-06-20,437.450012,438.369995,435.029999,437.179993,435.643341,76160400
2023-06-21,436.160004,436.989990,434.329987,434.940002,433.411224,76982300
2023-06-22,433.950012,436.619995,433.600006,436.510010,434.975708,70637200
2023-06-23,432.929993,435.059998,432.470001,433.209991,431.687286,92074500
2023-06-26,432.619995,434.609985,431.190002,431.440002,429.923523,72823600
2023-06-27,432.350006,436.809998,431.880005,436.170013,434.636902,72813700
2023-06-28,435.049988,437.440002,434.410004,436.390015,434.856140,75636000
2023-06-29,435.959991,438.279999,435.540009,438.109985,436.570038,67882300
2023-06-30,441.440002,444.299988,441.109985,443.279999,441.721893,104921500
2023-07-03,442.920013,444.079987,442.630005,443.790009,442.230103,32793400
2023-07-05,441.910004,443.890015,441.899994,443.130005,441.572418,58418400
2023-07-06,439.420013,440.100006,437.059998,439.660004,438.114624,80658300
2023-07-07,438.630005,442.640015,438.299988,438.549988,437.008514,86076100
2023-07-10,438.179993,439.839996,437.589996,439.660004,438.114624,62443500
2023-07-11,440.450012,442.970001,439.440002,442.459991,440.904755,64463800
2023-07-12,446.390015,447.480011,444.910004,446.019989,444.452240,91924500
2023-07-13,447.899994,450.380005,447.450012,449.559998,447.979828,72425200
2023-07-14,450.480011,451.359985,448.489990,449.279999,447.700806,69761800
2023-07-17,449.130005,451.929993,449.079987,450.839996,449.255310,52680200
2023-07-18,450.500000,454.859985,450.049988,454.190002,452.593536,80744400
2023-07-19,455.010010,456.429993,454.109985,455.200012,453.600006,65891700
2023-07-20,454.170013,455.100006,451.440002,452.179993,450.590607,70591600
2023-07-21,453.959991,454.170013,452.170013,452.179993,450.590607,71245400
2023-07-24,453.369995,455.040009,452.299988,454.200012,452.603516,54023400
2023-07-25,453.920013,456.739990,453.869995,455.440002,453.839142,55191200
2023-07-26,454.470001,456.989990,453.380005,455.510010,453.908905,71052900
2023-07-27,459.019989,459.440002,451.549988,452.489990,450.899506,92194400
2023-07-28,455.880005,457.779999,452.489990,456.920013,455.313965,80011800
2023-07-31,457.410004,458.160004,456.049988,457.790009,456.180908,62040400
2023-08-01,456.269989,457.250000,455.489990,456.480011,454.875519,55291500
2023-08-02,453.250000,453.519989,449.350006,450.130005,448.547821,93933400
2023-08-03,448.040009,450.790009,447.369995,448.839996,447.262360,64276100
2023-08-04,450.720001,452.899994,446.269989,446.809998,445.239471,100052300
2023-08-07,448.709991,450.869995,447.989990,450.709991,449.125763,58357500
2023-08-08,448.079987,450.700012,445.269989,448.750000,447.172668,71361300
2023-08-09,449.029999,449.200012,444.959991,445.750000,444.183228,78789600
2023-08-10,448.190002,451.700012,444.700012,445.910004,444.342651,93005500
2023-08-11,443.970001,446.700012,443.350006,445.649994,444.083557,68664600
2023-08-14,444.700012,448.109985,444.380005,448.109985,446.534912,47867400
2023-08-15,446.269989,446.640015,442.299988,442.890015,441.333282,75707500
2023-08-16,442.459991,444.179993,439.529999,439.640015,438.094696,80107200
2023-08-17,441.160004,441.429993,435.750000,436.290009,434.756470,95711300
